University,Origin,AcademicYear,NoOfInternationalStudents
University College London,China,2022/23,13975
University College London,India,2022/23,1000
University College London,Indonesia,2022/23,275
University College London,South Korea,2022/23,400
University College London,Malaysia,2022/23,730
University College London,Pakistan,2022/23,135
University College London,Singapore,2022/23,675
University College London,China,2021/22,10785
University College London,India,2021/22,475
University College London,Indonesia,2021/22,245
University College London,South Korea,2021/22,345
University College London,Malaysia,2021/22,680
University College London,Pakistan,2021/22,135
University College London,Singapore,2021/22,675
University College London,China,2020/21,10285
University College London,India,2020/21,460
University College London,Indonesia,2020/21,145
University College London,South Korea,2020/21,355
University College London,Malaysia,2020/21,625
University College London,Pakistan,2020/21,145
University College London,Singapore,2020/21,575
University College London,China,2019/20,7495
University College London,India,2019/20,425
University College London,Indonesia,2019/20,170
University College London,South Korea,2019/20,350
University College London,Malaysia,2019/20,595
University College London,Pakistan,2019/20,120
University College London,Singapore,2019/20,685
The University of Manchester,China,2022/23,9085
The University of Manchester,India,2022/23,1385
The University of Manchester,Indonesia,2022/23,235
The University of Manchester,South Korea,2022/23,175
The University of Manchester,Malaysia,2022/23,800
The University of Manchester,Pakistan,2022/23,135
The University of Manchester,Singapore,2022/23,175
The University of Manchester,China,2021/22,9065
The University of Manchester,India,2021/22,1010
The University of Manchester,Indonesia,2021/22,165
The University of Manchester,South Korea,2021/22,180
The University of Manchester,Malaysia,2021/22,695
The University of Manchester,Pakistan,2021/22,145
The University of Manchester,Singapore,2021/22,160
The University of Manchester,China,2020/21,8605
The University of Manchester,India,2020/21,610
The University of Manchester,Indonesia,2020/21,135
The University of Manchester,South Korea,2020/21,175
The University of Manchester,Malaysia,2020/21,685
The University of Manchester,Pakistan,2020/21,115
The University of Manchester,Singapore,2020/21,165
The University of Manchester,China,2019/20,6490
The University of Manchester,India,2019/20,550
The University of Manchester,Indonesia,2019/20,150
The University of Manchester,South Korea,2019/20,205
The University of Manchester,Malaysia,2019/20,685
The University of Manchester,Pakistan,2019/20,130
The University of Manchester,Singapore,2019/20,165
The University of Glasgow,China,2021/22,9085
The University of Glasgow,India,2021/22,1035
The University of Glasgow,Indonesia,2021/22,165
The University of Glasgow,South Korea,2021/22,70
The University of Glasgow,Malaysia,2021/22,235
The University of Glasgow,Pakistan,2021/22,130
The University of Glasgow,Singapore,2021/22,155
The University of Glasgow,China,2020/21,6095
The University of Glasgow,India,2020/21,530
The University of Glasgow,Indonesia,2020/21,95
The University of Glasgow,South Korea,2020/21,50
The University of Glasgow,Malaysia,2020/21,195
The University of Glasgow,Pakistan,2020/21,100
The University of Glasgow,Singapore,2020/21,135
Coventry University,China,2022/23,1760
Coventry University,India,2022/23,8860
Coventry University,Indonesia,2022/23,95
Coventry University,South Korea,2022/23,210
Coventry University,Malaysia,2022/23,115
Coventry University,Pakistan,2022/23,880
Coventry University,Singapore,2022/23,15
Coventry University,China,2021/22,2520
Coventry University,India,2021/22,5405
Coventry University,Indonesia,2021/22,135
Coventry University,South Korea,2021/22,215
Coventry University,Malaysia,2021/22,145
Coventry University,Pakistan,2021/22,1015
Coventry University,Singapore,2021/22,15
Coventry University,China,2020/21,2515
Coventry University,India,2020/21,2580
Coventry University,Indonesia,2020/21,145
Coventry University,South Korea,2020/21,175
Coventry University,Malaysia,2020/21,145
Coventry University,Pakistan,2020/21,800
Coventry University,Singapore,2020/21,15
Coventry University,China,2019/20,3205
Coventry University,India,2019/20,1550
Coventry University,Indonesia,2019/20,185
Coventry University,South Korea,2019/20,260
Coventry University,Malaysia,2019/20,190
Coventry University,Pakistan,2019/20,590
Coventry University,Singapore ,2019/20,25
King's College London,China,2022/23,5520
King's College London,India,2022/23,1190
King's College London,Indonesia,2022/23,160
King's College London,South Korea,2022/23,210
King's College London,Malaysia,2022/23,395
King's College London,Pakistan,2022/23,155
King's College London,Singapore,2022/23,370
King's College London,China,2021/22,6360
King's College London,India,2021/22,920
King's College London,Indonesia,2021/22,120
King's College London,South Korea,2021/22,205
King's College London,Malaysia,2021/22,390
King's College London,Pakistan,2021/22,145
King's College London,Singapore,2021/22,355
King's College London,China,2020/21,5060
King's College London,India,2020/21,605
King's College London,Indonesia,2020/21,100
King's College London,South Korea,2020/21,195
King's College London,Malaysia,2020/21,340
King's College London,Pakistan,2020/21,135
King's College London,Singapore,2020/21,335
The University of Edinburgh,China,2022/23,7165
The University of Edinburgh,India,2022/23,835
The University of Edinburgh,Indonesia,2022/23,160
The University of Edinburgh,South Korea,2022/23,130
The University of Edinburgh,Malaysia,2022/23,465
The University of Edinburgh,Pakistan,2022/23,115
The University of Edinburgh,Singapore,2022/23,245
The University of Edinburgh,China,2021/22,6855
The University of Edinburgh,India,2021/22,785
The University of Edinburgh,Indonesia,2021/22,110
The University of Edinburgh,South Korea,2021/22,125
The University of Edinburgh,Malaysia,2021/22,480
The University of Edinburgh,Pakistan,2021/22,110
The University of Edinburgh,Singapore,2021/22,275
The University of Edinburgh,China,2020/21,5750
The University of Edinburgh,India,2020/21,440
The University of Edinburgh,Indonesia,2020/21,85
The University of Edinburgh,South Korea,2020/21,115
The University of Edinburgh,Malaysia,2020/21,440
The University of Edinburgh,Pakistan,2020/21,115
The University of Edinburgh,Singapore,2020/21,240
The University of Edinburgh,China,2019/20,4755
The University of Edinburgh,India,2019/20,405
The University of Edinburgh,Indonesia,2019/20,105
The University of Edinburgh,South Korea,2019/20,110
The University of Edinburgh,Malaysia,2019/20,425
The University of Edinburgh,Pakistan,2019/20,85
The University of Edinburgh,Singapore,2019/20,235
University of Hertfordshire,China,2022/23,180
University of Hertfordshire,India,2022/23,7270
University of Hertfordshire,Indonesia,2022/23,60
University of Hertfordshire,South Korea,2022/23,5
University of Hertfordshire,Malaysia,2022/23,90
University of Hertfordshire,Pakistan,2022/23,2570
University of Hertfordshire,Singapore,2022/23,10
University of Hertfordshire,China,2021/22,240
University of Hertfordshire,India,2021/22,5825
University of Hertfordshire,Indonesia,2021/22,45
University of Hertfordshire,South Korea,2021/22,5
University of Hertfordshire,Malaysia,2021/22,5
University of Hertfordshire,Pakistan,2021/22,2010
University of Hertfordshire,Singapore,2021/22,10
BPP University,China,2022/23,90
BPP University,India,2022/23,11620
BPP University,Indonesia,2022/23,5
BPP University,South Korea,2022/23,20
BPP University,Malaysia,2022/23,380
BPP University,Pakistan,2022/23,4650
BPP University,Singapore,2022/23,30
University of Sheffield,China,2020/21,6390
University of Sheffield,India,2020/21,330
University of Sheffield,Indonesia,2020/21,45
University of Sheffield,South Korea,2020/21,85
University of Sheffield,Malaysia,2020/21,305
University of Sheffield,Pakistan,2020/21,55
University of Sheffield,Singapore,2020/21,125
University of Sheffield,China,2019/20,5990
University of Sheffield,India,2019/20,280
University of Sheffield,Indonesia,2019/20,45
University of Sheffield,South Korea,2019/20,120
University of Sheffield,Malaysia,2019/20,375
University of Sheffield,Pakistan,2019/20,55
University of Sheffield,Singapore,2019/20,130
The University of Leeds,China,2019/20,5050
The University of Leeds,India,2019/20,430
The University of Leeds,Indonesia,2019/20,120
The University of Leeds,South Korea,2019/20,105
The University of Leeds,Malaysia,2019/20,285
The University of Leeds,Pakistan,2019/20,50
The University of Leeds,Singapore,2019/20,85
The University of Liverpool,China,2019/20,6025
The University of Liverpool,India,2019/20,175
The University of Liverpool,Indonesia,2019/20,30
The University of Liverpool,South Korea,2019/20,40
The University of Liverpool,Malaysia,2019/20,215
The University of Liverpool,Pakistan,2019/20,25
The University of Liverpool,Singapore,2019/20,25